Event_id,Rating,People,Review,Name,Price
51,4.4,679,Very Good,"OYO 12319 Elegant 1BHK Near Vainguinim Beach Dona Paula, Goa


Hurry. Only 1 room left",₹2184
52,4.4,347,Very Good,"OYO 18414 Cosy StudioSaligao Circle, Goa


Hurry. Only 1 room left",₹2391
53,4.4,193,Very Good,"OYO Home 66564 Spacious Studios CalanguteICICI Bank, Calangute, Goa",₹2071
54,4.4,143,Very Good,"Capital O 5996 10 Calangute DeluxeShree Nichaldas Arcade, Calangute, Goa


Hurry. Only 1 room left",₹2826
55,4.4,110,Very Good,"OYO 46308 Flora Villa CandolimFlora Villa, Candolim, Goa


Hurry. Only 1 room left",₹2541
56,4.4,102,Very Good,"OYO 47012 Country Side Inn DeluxeVerrem, Goa


Hurry. Only 1 room left",₹1577
57,4.4,95,Very Good,"OYO 16095 Luxury Studio Star Indian Oil Petrol Pump, Anjuna, Goa",₹1597
58,4.4,91,Very Good,"OYO 14644 Riverview StudioNear Post Office, Siolim, Goa


Hurry. Only 1 room left",₹1461
59,4.4,45,Very Good,"Capital O 64718 Sea Shell Beach Cottages & SuitesNear Arambol Beach, Goa


Hurry. Only 1 room left",₹1740
60,4.4,22,Very Good,"OYO 60478 Sai MaxNear Morjim Church, Agarwad, Goa",₹1014
61,4.3,1452,Very Good,"OYO Flagship 39299 Aqualura Verem RdNear Petrol Pump, Nerul- Candolim Rd, Goa








6 people booked this hotel in last 6 hours",₹2161
62,4.3,1054,Very Good,"Collection O 13623 Baga Villa BomfimNear Baga Beach, Goa








6 people booked this hotel in last 6 hours",₹4224
63,4.3,967,Very Good,"Collection O 48235 The Business Hotel Vasco Stadium SaverNear Vasco Stadium, Goa


Hurry. Only 1 room left",₹2842
64,4.3,740,Very Good,"OYO Townhouse 065 Calangute AguadaNear Full Gospel Church, Goa








11 people booked this hotel today",₹3016
65,4.3,493,Very Good,"Capital O 9829 Meadow View ResortNear JD's Dine Inn, Majorda, Goa


Hurry. Only 1 room left",₹2092
